interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"04-02-73-28",500,0,500,0,400,0,0,200
"57-09-51-71",,,,,,,,
"45-10-68-85",3060,0,800,6000,2000,0,0,0
"72-72-49-77",1500,0,0,0,8000,0,0,0
"61-58-42-30",7500,0,0,7000,15000,0,0,0
"46-76-02-18",1000,0,0,0,0,0,0,0
"32-71-82-87",2940,0,500,0,2500,0,0,0
"51-19-72-02",8720,3500,4500,10700,1200,0,300,0
"98-92-34-42",700,0,0,0,0,0,0,0
"49-20-15-79",,,,,,,,
"19-17-82-94",2000,0,0,0,4000,0,0,0
"26-53-83-57",3000,0,0,9000,0,0,0,0
"35-77-55-36",,,,,,,,
"60-19-93-23",,,,,,,,
"98-71-23-55",,,,,,,,
"88-09-79-89",7000,0,0,12000,8000,0,0,0
"17-30-57-13",,,,,,,,
"34-24-20-27",0,0,0,0,0,0,0,0
"13-99-53-09",3000,0,0,3500,0,0,0,0
"62-74-89-68",2500,0,0,3500,7000,0,0,0
"10-78-86-05",,,,,,,,
"58-17-83-09",2400,0,600,0,0,0,0,800
"86-94-71-57",2000,3500,2000,0,5000,0,200,0
"13-61-09-88",,,,,,,,
"33-63-66-86",,,,,,,,
"31-45-42-89",5560,0,0,14500,0,0,200,0
"53-01-20-30",1000,0,0,0,2000,0,0,500
"13-52-61-75",6850,650,1000,10400,1250,0,200,0
"64-05-06-14",,,,,,,,
"78-32-01-29",4800,0,0,12000,4500,0,0,0
"33-80-34-20",,,,,,,,
"10-62-40-22",,,,,,,,
"82-40-44-86",15000,0,0,16500,10000,0,500,0
"52-02-93-49",,,,,,,,
"94-99-56-40",,,,,,,,
"32-71-99-16",2400,7000,1200,5250,1800,0,1000,0
"91-09-88-25",,,,,,,,
"53-58-51-62",,,,,,,,
"95-92-63-73",7000,0,0,14000,6000,0,1200,0
"06-17-24-58",5500,0,0,6000,4900,2000,0,500
"23-78-50-31",,,,,,,,
"20-84-25-59",,,,,,,,
"97-31-09-83",5000,0,0,0,3500,0,0,0
"56-22-99-66",1500,0,0,0,0,0,0,0
"05-92-75-52",2500,0,0,8000,3000,0,0,0
"56-78-97-61",,,,,,,,
"89-05-59-72",2500,0,0,0,0,0,0,0
"50-93-16-91",750,0,300,0,0,0,600,500
"89-68-31-84",1550,0,1000,7000,0,4000,600,0
"37-58-34-11",,,,,,,,
"33-93-90-01",600,0,0,0,1500,0,200,600
"00-04-89-61",4800,3500,600,7000,1500,0,3000,1500
"98-42-90-09",3600,0,0,6000,0,0,500,0
"81-57-29-94",,,,,,,,
"55-74-55-01",300,0,0,0,0,0,200,300
"35-03-81-94",3000,0,0,5000,0,0,0,0
"87-29-60-32",,,,,,,,
"59-04-53-64",,,,,,,,
"82-68-38-51",,,,,,,,
"64-96-99-21",,,,,,,,
"36-02-93-74",1750,0,0,0,0,0,200,0
"56-43-23-52",4400,0,0,0,0,0,0,0
"42-33-55-75",,,,,,,,
"67-03-64-23",9600,0,0,10000,5000,0,0,0
"34-93-29-30",,,,,,,,
"74-55-51-40",2400,0,0,0,0,0,0,0
"64-62-65-29",0,0,0,0,2100,0,0,0
"30-54-31-50",1000,0,0,0,0,0,0,0
"42-02-08-83",1000,0,0,0,0,0,0,0
"04-71-60-91",,,,,,,,
"37-15-67-95",4800,0,0,8000,5000,0,0,0
"42-23-71-10",,,,,,,,
"50-11-26-74",17000,0,0,30000,10000,0,30000,10000
"41-04-96-60",6000,0,0,0,4000,0,0,1500
"64-11-10-98",,,,,,,,
"57-81-30-05",1200,0,0,3000,2000,0,0,0
"88-77-78-80",4800,0,0,6000,5000,0,0,0
"50-74-95-60",41550,14000,8800,10000,53800,3000,1000,2000
"99-69-07-36",,,,,,,,
"94-52-87-82",2500,0,0,0,7000,0,0,0
"36-65-12-21",2500,0,1350,2000,0,0,200,0
"97-41-99-18",,,,,,,,
"90-57-88-40",,,,,,,,
"38-86-39-27",,,,,,,,
"03-07-08-19",4700,0,0,0,0,0,0,0
"72-39-10-40",12000,0,0,30000,10000,0,500,0
"06-58-90-91",,,,,,,,
"20-64-53-81",4800,0,0,3000,5000,0,0,0
"64-24-49-94",8400,0,0,0,15000,0,0,0
