interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"37-72-45-16",4,1,"Members that left - Other economic reasons","","Male","Self/Head",69,"Married monogamously","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 1","No","Not willing to attend further","",,"","","","Yes","Yes","No"
"86-82-46-77",1,12,,"","Male","Self/Head",41,"Married monogamously","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","I don't Know","",,"","","","No",,
"86-82-46-77",2,12,,"","Female","Wife/Husband",43,"Married monogamously","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Pregnancy","",,"","","","Yes","Yes","No"
"86-82-46-77",3,12,,"","Female","Child/Adopted Child",23,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Other","she failed and decided to stay in the village",,"","","","No",,
"86-82-46-77",4,12,,"","Female","Mother/Father",24,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","Yes",,"",,"","","","No",,
"86-82-46-77",5,12,,"","Female","Child/Adopted Child",16,"Never Married","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"35-59-75-62",1,12,,"","Male","Self/Head",63,"Married monogamously","Other, Specify","mbunda","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"35-59-75-62",2,12,,"","Female","Wife/Husband",61,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Poor academic progress","",,"","","","No",,
"35-59-75-62",3,12,,"","Female","Grandchild",23,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Sickness or calamity in family","",,"","","","No",,
"35-59-75-62",4,12,,"","Female","Grandchild",19,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"35-59-75-62",5,12,,"","Male","Child/Adopted Child",22,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Had to help at home","",,"","","","No",,
"35-59-75-62",6,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","too young",,"","","",,,
"35-59-75-62",7,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","too young for school",,"","","",,,
"35-59-75-62",8,12,,"","Female","Child/Adopted Child",13,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 1","Yes",,"",,"","","","No",,
