interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"99-83-95-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-29-66-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-09-67-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-00-44-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-98-47-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-72-01-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-97-48-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-10-52-87","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,65,,,,,,,,,,
"92-62-56-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-32-10-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-20-66-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-95-69-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-35-44-26","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,340,,,,,,,,,,
"59-94-58-22","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,34,,,,,,,,,,
"40-32-33-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-30-46-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"42-15-88-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-83-07-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-76-24-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-98-25-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-81-97-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-75-59-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-70-02-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
